[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/eeuu-carteles-portaaviones-06445967497116e0f127801cd74f896a
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/chile-elecciones-presidente-kast-jara-kaiser-matthei-inseguridad-migracion-b1ebaa074b88085f41691e3eeb84b32a
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/bangladesh-hasina-verdict-yunus-security-c1eec828e68460bae66824601a94eaca
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/russia-ukraine-pompeo-missiles-drones-58d1ebcb1141c19c326ef05b3a03df63
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/nigeria-girls-abducted-school-9d288758bf1a57f3390c962f0a68596b
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/poll-crime-big-cities-rural-america-trump-inflation-f409298f9283cd6606267b204d9b920c
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/national-guard-portland-chicago-los-angeles-cd6e585615422461d7088b8ed04bb974
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/house-cleaner-shot-indiana-homeowner-charges-9c268f962710cd442298a2f72eb764e0
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/comey-halligan-justice-department-d663148e16d042087210d4d266ea10ae
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/donald-trump-zohran-mamdani-new-york-635ff08a532f23f290837980fdaddfe6
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/epstein-files-trump-congress-c858fcd7d587bb61d1b73753487b0ee1
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/browns-shedeur-sanders-debut-a2086fbb9d46c2a4661f08e9ac9b190a
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/swim-tips-rowdy-gaines-olympics-c01a6fe207e7afea131b97993e87fe3c
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/ap-top-25-basketball-poll-839db7de9d66f375f3e7e0a27c5d7f6b
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/ariana-grande-cher-josh-oconnor-snl-fbe46aaa0b2c3db4ef42ed453045c75a
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/tom-cruise-oscars-governors-awards-a68f91739cab9ce7ed7a26cc11764213
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/met-museum-fashion-exhibit-gala-a6e5458e4c6ce7f22fe043cddedba3df
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/wegovy-zepbound-novo-price-cuts-0305653d2fa4de1fed84a4e29407d4ca
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/stock-markets-rates-japan-nvidia-ae23a3aa7ef9ddbc69c7f68881576062
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/lisa-cook-trump-fed-independence-firing-d06dfb46fbd300195c3cedc8cb5adadb
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/video-dog-rescued-boston-tunnel-85743eb0ea51dd18dcc40e99dac3ac8c
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/elephant-pumpkin-smash-video-portland-oregon-zoo-1e942f8379ee099847254c6811ba0c29
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/giant-pumpkin-regatta-race-oregon-tualatin-e51831205b13592259fbd85bc4f29358
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/googly-eyes-public-art-sculptures-bend-oregon-2f4fce84569e3b599106199f3b6d66e3
[2025-11-17 19:38:27][INFO] Discovered link: https://apnews.com/article/chicago-rat-hole-study-squirrel-researchers-4a0931f965a0fc5241ea95af2b09859b
